hour,count
0,205
1,89
2,64
3,34
4,24
5,15
6,32
7,63
8,137
9,209
10,242
11,229
12,247
13,213
14,262
15,272
16,266
17,215
18,248
19,226
20,297
21,284
22,305
23,271
